year_month,area_code,pm25,pm10,o3,no2,so2,co,aqi
201402,110101,229,106,10,40,31,-1,229
201402,110102,230,148,8,42,38,-1,230
201402,110103,222,114,11,33,28,25,222
201402,110104,222,114,11,33,28,25,222
201402,110105,219,138,9,37,30,-1,219
201402,110106,226,102,4,46,34,-1,226
201402,110107,223,109,13,40,28,-1,223
201402,110108,217,111,6,43,38,-1,217
201402,110109,212,113,13,28,25,-1,212
201402,110111,235,141,10,39,25,-1,235
201402,110112,243,129,13,29,27,20,243
201402,110113,233,114,11,30,27,-1,233
201402,110114,216,93,11,21,19,-1,216
201402,110115,225,127,8,27,22,-1,225
201402,110116,201,91,15,26,24,-1,201
201402,110117,216,112,14,24,30,29,216
201402,110228,222,114,11,33,28,25,222
201402,110229,222,114,11,33,28,25,222
201402,120101,175,105,12,32,52,25,175
201402,120102,174,94,12,27,47,22,174
201402,120103,174,106,10,26,53,19,174
201402,120104,164,97,11,29,55,17,164
201402,120105,182,116,12,27,50,20,182
201402,120106,179,103,15,36,51,25,179
201402,120107,175,108,13,30,45,22,175
201402,120108,175,108,13,30,45,22,175
201402,120109,175,108,13,30,45,22,175
201402,120110,150,83,14,29,37,22,150
201402,120111,171,110,13,28,45,17,171
201402,120112,151,90,13,27,36,14,151
201402,120113,180,124,14,36,46,22,180
201402,120114,198,131,13,28,43,26,198
201402,120115,187,123,12,33,42,27,187
201402,120221,175,108,13,30,45,22,175
201402,120223,175,108,13,30,45,22,175
201402,120225,175,108,13,30,45,22,175
201402,1301,284,289,13,37,48,6,289
201402,1302,207,138,10,27,47,29,207
201402,1303,167,111,17,19,35,16,167
201402,1304,230,153,12,30,25,15,230
201402,1305,290,260,12,36,50,22,290
201402,1306,242,257,14,36,50,28,257
201402,1307,179,117,34,21,46,20,179
201402,1308,181,103,16,20,24,14,181
201402,1309,178,97,21,14,32,15,178
201402,1310,242,185,14,34,41,22,242
201402,1311,248,192,21,29,42,16,248
201402,1401,158,94,6,15,38,18,158
201402,1402,125,54,13,17,26,27,125
201402,1403,207,115,8,11,24,16,207
201402,1404,157,132,27,25,24,23,157
201402,1405,188,130,31,24,58,37,188
201402,1406,192,89,14,26,64,15,192
201402,1407,128,76,4,22,20,21,128
201402,1408,117,67,12,17,33,31,117
201402,1409,150,87,13,13,34,29,150
201402,1410,145,66,11,9,23,24,145
201402,1411,153,98,8,13,38,25,153
201402,1501,82,41,15,24,34,31,82
201402,1502,147,102,25,27,45,22,147
201402,1503,126,82,30,21,35,18,126
201402,1504,144,97,43,13,30,9,144
201402,1505,126,82,30,21,35,18,126
201402,1506,109,67,40,14,22,10,109
201402,1507,126,82,30,21,35,18,126
201402,1508,126,82,30,21,35,18,126
201402,1509,126,82,30,21,35,18,126
201402,1522,126,82,30,21,35,18,126
201402,1525,126,82,30,21,35,18,126
201402,1529,126,82,30,21,35,18,126
201402,2101,169,94,19,25,56,12,169
201402,2102,147,74,21,23,33,9,147
201402,2103,175,113,19,18,46,37,175
201402,2104,140,83,21,20,26,15,140
201402,2105,142,63,12,18,30,26,142
201402,2106,128,74,21,15,29,14,128
201402,2107,167,92,20,22,52,13,167
201402,2108,135,74,33,22,40,11,135
201402,2109,131,70,21,12,33,13,131
201402,2110,138,79,15,19,35,15,138
201402,2111,154,77,22,14,25,20,154
201402,2112,151,67,22,13,18,4,151
201402,2113,33,26,13,17,28,24,33
201402,2114,167,107,24,23,46,21,167
201402,2201,172,88,18,26,39,12,172
201402,2202,179,108,22,27,35,25,179
201402,2203,175,94,19,25,37,16,175
201402,2204,175,94,19,25,37,16,175
201402,2205,175,94,19,25,37,16,175
201402,2206,175,94,19,25,37,16,175
201402,2207,175,94,19,25,37,16,175
201402,2208,195,106,25,12,10,24,195
201402,2224,175,94,19,25,37,16,175
201402,2301,186,112,32,29,39,13,186
201402,2302,150,90,29,20,35,18,150
201402,2303,171,97,32,23,30,13,171
201402,2304,171,97,32,23,30,13,171
201402,2305,171,97,32,23,30,13,171
201402,2306,150,70,29,15,15,8,150
201402,2307,171,97,32,23,30,13,171
201402,2308,171,97,32,23,30,13,171
